Station,Year,Rides
40190,2008,1512291
40190,2009,1560808
40190,2010,1679038
40190,2011,1704136
40190,2012,1740657
40190,2013,788964
40190,2014,1646368
40190,2015,1712730
40190,2016,1661068
40190,2017,1449003
40200,2001,1758281
40200,2002,1681860
40200,2003,1627091
40200,2004,1592643
40200,2005,1682797
40200,2006,1847854
40200,2007,2148921
40200,2008,2246060
40200,2009,2098189
40200,2010,2084866
40200,2011,2234761
40200,2012,2311684
40200,2013,2215178
40200,2014,2242622
40200,2015,2976392
40200,2016,3006529
40200,2017,1987798
40210,2001,179360
40210,2002,173690
40210,2003,91885
40210,2004,130493
40210,2005,239224
40210,2006,282852
40210,2007,326920
40210,2008,368100
40210,2009,382685
40210,2010,387172
40210,2011,426703
40210,2012,451930
40210,2013,456514
40210,2014,487210
40210,2015,497134
40210,2016,484746
40210,2017,439708
40220,2001,339534
40220,2002,323783
40220,2003,318773
40220,2004,318599
40220,2005,314132
40220,2006,357927
40220,2007,398323
40220,2008,452266
40220,2009,436322
40220,2010,474739
40220,2011,551568
40220,2012,568362
40220,2013,539952
40220,2014,556858
40220,2015,555745
40220,2016,534215
40220,2017,475712
40230,2001,1436488
40230,2002,1414932
40230,2003,1500468
40230,2004,1548003
40230,2005,1689403
40230,2006,1710556
40230,2007,1491719
40230,2008,1494144
40230,2009,1390145
40230,2010,1398724
40230,2011,1434536
40230,2012,1456684
40230,2013,1438568
40230,2014,1386121
40230,2015,1451415
40230,2016,1415311
40230,2017,1307300
40240,2001,2353128
40240,2002,2507502
40240,2003,2464781
40240,2004,2229228
40240,2005,2310836
40240,2006,2406541
40240,2007,2504888
40240,2008,2648427
40240,2009,2520986
40240,2010,2565421
40240,2011,2548824
40240,2012,2477794
40240,2013,1243537
40240,2014,2418676
40240,2015,2507871
40240,2016,2363196
40240,2017,2039764
40250,2001,475154
40250,2002,495941
40250,2003,505712
40250,2004,467575
40250,2005,468717
40250,2006,493014
40250,2007,507510
40250,2008,556422
40250,2009,542789
40250,2010,611293
40250,2011,705310
40250,2012,727141
40250,2013,719524
40250,2014,752306
40250,2015,787248
40250,2016,721162
40250,2017,576257
40260,2001,2551403
40260,2002,2622191
40260,2003,2426139
